id,username,category,profilePicUrl,followers,reelsCount30d,avgViews30d,lastScrapedAt
b0272596-5409-4179-9a60-95d8ae543265,gullylabs,d2c-footwear,https://scontent.cdninstagram.com/v/t51.2885-19/476282379_1701209187160956_1383314480657301880_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2gHjkGKOcjKhUld1D4nr0eLlD4NZaE_R7cY53Xe9bSnGptkp1DmbgEzGi72_aQ3o4kQ&_nc_ohc=QmbuzHzz0_IQ7kNvwGHOMnP&_nc_gid=yHem7J8vqA6SYiMifvx1LA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af3UrLsVPMheMI3InNFa1kagDBA2aW7oLwjsrFNpe0zckA&oe=69D2B2B3&_nc_sid=8b3546,224346,7,324177,2026-04-01T10:55:47.240Z
117029ff-d509-4286-a531-f92d25a7ccd6,palmonas_official,Demi-fine jewellery,https://scontent-bos5-1.cdninstagram.com/v/t51.2885-19/499855336_18034863038645193_3157038097501003993_n.jpg?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2gEF0utZoCmRMSjOqoR_XwaCyyI8HGIWWNKLjOUj-Dwr490D9wE_cNVJT_qErYrtM4g&_nc_ohc=enzD4NYlo-kQ7kNvwEo2OFK&_nc_gid=mYkwXZQic499-jpe8UzvjA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af2vxjMOqhUbAEC4fAnRFz9ZAfiKwoIj6nHAcDN2lMN03w&oe=69D300CA&_nc_sid=8b3546,806809,28,1255279,2026-04-01T12:41:41.523Z
